facility,status,region,technology,generatorcap,latitude,longitude
Ballarat Battery,Commissioned,Victoria,Battery (Discharging),30,-37.567452,143.852741
Dalrymple North Battery,Commissioned,South Australia,Battery (Discharging),30,-34.888446,137.758114
Gannawarra Battery,Commissioned,Victoria,Battery (Discharging),30,-35.735056,143.779462
Hornsdale Power Reserve,Commissioned,South Australia,Battery (Discharging),100,-33.085519,138.521914
Lake Bonney Bess1,Commissioned,South Australia,Battery (Discharging),25,-37.7387871,140.3846721
Berwick,Commissioned,Victoria,Bioenergy (Biogas),7,-37.940819,145.236257
Bolivar Waste Water Treatment,Commissioned,South Australia,Bioenergy (Biogas),10,-34.495482,138.387641
Broadmeadows,Commissioned,Victoria,Bioenergy (Biogas),5,-37.685081,144.966114
Broadwater,Commissioned,New South Wales,Bioenergy (Biogas),38,-29.016483,153.445756
Brooklyn,Commissioned,Victoria,Bioenergy (Biogas),3,-37.818597,144.828492
Browns Plains,Commissioned,Queensland,Bioenergy (Biogas),2,-27.674584,153.068499
Clayton,Commissioned,Victoria,Bioenergy (Biogas),11,-37.950618,145.119681
Condong,Commissioned,New South Wales,Bioenergy (Biogas),30,-28.314766,153.433808
Corio,Commissioned,Victoria,Bioenergy (Biogas),1,-38.059048,144.404905
Eastern Creek,Commissioned,New South Wales,Bioenergy (Biogas),5,-33.815468,150.854307
Eastern Creek 2,Commissioned,New South Wales,Bioenergy (Biogas),8.984,-33.815468,150.854307
Grange Avenue,Commissioned,New South Wales,Bioenergy (Biogas),2,-33.713011,150.83316
Hallam Road,Commissioned,Victoria,Bioenergy (Biogas),9,-38.052181,145.267798
Jacks Gully,Commissioned,New South Wales,Bioenergy (Biogas),2,-34.072955,150.743691
Kemps Creek,Commissioned,New South Wales,Bioenergy (Biogas),1,,
Kincumber,Commissioned,New South Wales,Bioenergy (Biogas),1,-33.477111,151.402603
Lucas Heights 2,Commissioned,New South Wales,Bioenergy (Biogas),5,-34.044088,150.972475
Remount,Commissioned,Tasmania,Bioenergy (Biogas),2,-41.398447,147.1495
Rochedale,Commissioned,Queensland,Bioenergy (Biogas),4,-27.555798,153.123155
Shepparton Wastewater Treatment,Commissioned,Victoria,Bioenergy (Biogas),1,-36.322223,145.379291
Springvale,Commissioned,Victoria,Bioenergy (Biogas),5,-37.973375,145.139695
Stapylton,Commissioned,Queensland,Bioenergy (Biogas),3,,
Tatura Biomass,Commissioned,Victoria,Bioenergy (Biogas),1,-36.47915,145.235037
Veolia Ti Tree Bio Reactor,Commissioned,Queensland,Bioenergy (Biogas),2,-27.695551,152.650313
West Nowra,Commissioned,New South Wales,Bioenergy (Biogas),1,-34.882318,150.551075
Whitwood Road,Commissioned,Queensland,Bioenergy (Biogas),1,-27.620454,152.824409
Wingfield 1,Commissioned,South Australia,Bioenergy (Biogas),5,-34.835138,138.548949
Wingfield 2,Commissioned,South Australia,Bioenergy (Biogas),5,-34.835138,138.548949
Wollert,Commissioned,Victoria,Bioenergy (Biogas),7,-37.591792,145.043033
Woodlawn Bioreactor,Commissioned,New South Wales,Bioenergy (Biogas),7,-35.05928,149.5749
Woy Woy,Commissioned,New South Wales,Bioenergy (Biogas),1,-33.506914,151.291606
Invicta Sugar Mill,Commissioned,Queensland,Bioenergy (Biomass),50,-19.51579031,147.1065305
Isis Central Sugar Mill,Commissioned,Queensland,Bioenergy (Biomass),25,-25.197619,152.206949
Pioneer Sugar Mill,Commissioned,Queensland,Bioenergy (Biomass),68,-19.557546,147.330825
Racecourse Mill,Commissioned,Queensland,Bioenergy (Biomass),48.5,-21.163842,149.135738
Rocky Point Co-gen,Commissioned,Queensland,Bioenergy (Biomass),30,-27.733564,153.326464
Victoria Mill,Commissioned,Queensland,Bioenergy (Biomass),24,-18.650208,146.200866
Tableland Mill,Commissioned,Queensland,Biomass,24,-17.119813,145.34513
Bayswater,Commissioned,New South Wales,Black Coal,2640,-32.39350179,150.953963
Callide B,Commissioned,Queensland,Black Coal,700,-24.33316877,150.6263216
Callide C,Commissioned,Queensland,Black Coal,840,-24.347222,150.608611
